id,prompt,image_path,image_reward,clip,hps
1,"A majestic lion with a crown of stars, deep space background, nebulae, hyperrealistic, octane render",outputs/1.png,1.3315401077270508,27.51380729675293,0.2890625
2,"An ancient, moss-covered library hidden in a forest, shafts of light filtering through the canopy, fantasy, matte painting, detailed",outputs/2.png,-1.3987030982971191,24.44241714477539,0.26025390625
3,"Cyberpunk city street at night, neon signs reflecting on wet pavement, flying vehicles, Blade Runner aesthetic, cinematic lighting",outputs/3.png,0.24951651692390442,29.436603546142578,0.296142578125
4,"A tranquil Japanese garden with a koi pond and a red bridge, cherry blossoms in full bloom, watercolor style, peaceful",outputs/4.png,1.122604489326477,32.13477325439453,0.28125
5,"Portrait of a futuristic female astronaut, intricate details on the helmet visor showing a reflection of a distant galaxy, sci-fi, photorealistic",outputs/5.png,-0.3750414252281189,21.567041397094727,0.2489013671875
6,"A giant, gentle robot tending to a small, glowing flower in a post-apocalyptic wasteland, emotional, concept art, by Simon Stalenhag",outputs/6.png,-0.4217294156551361,33.60882568359375,0.22509765625
7,"Underwater city of Atlantis, bioluminescent creatures swimming between grand, Grecian-style buildings, fantasy, epic scale, by James Gurney",outputs/7.png,0.4154929220676422,29.660266876220703,0.2783203125
8,"A cozy, cluttered artist's studio filled with canvases and sculptures, warm morning light, impressionistic style, by Monet",outputs/8.png,-0.6218376755714417,31.565792083740234,0.206787109375
9,"Steampunk-inspired mechanical dragon breathing fire made of clockwork gears, intricate cogs and brass, detailed illustration",outputs/9.png,0.5731245279312134,36.51145553588867,0.282958984375
10,"A lone wanderer in a vast, snowy mountain landscape, dramatic clouds, sense of scale, atmospheric, style of Caspar David Friedrich",outputs/10.png,1.1536673307418823,32.12522888183594,0.224365234375
11,"A crystal palace in the clouds, serene, volumetric lighting, fantasy, by James Gurney",outputs/11.png,1.8052165508270264,31.53022575378418,0.2216796875
12,"A haunted mansion on a hill during a thunderstorm, gothic, atmospheric, style of Zdzislaw Beksinski",outputs/12.png,1.2636239528656006,27.777511596679688,0.267578125
13,"A group of adventurers around a campfire in a forgotten temple, shafts of light filtering through, concept art",outputs/13.png,1.2260993719100952,30.713003158569336,0.26220703125
14,"A secret agent in a tuxedo on a neon-lit street at night, cinematic lighting, photorealistic",outputs/14.png,1.36781907081604,30.7045841217041,0.251953125
15,"A spaceship exploring a massive, colorful nebula, deep space, epic scale, 4K, octane render",outputs/15.png,-0.5083962678909302,25.762676239013672,0.2529296875
16,"A serene alien landscape with two suns setting, sci-fi, matte painting, tranquil",outputs/16.png,-0.94801926612854,26.920928955078125,0.16796875
17,"A bustling medieval market with a knight in shining armor, detailed illustration, vibrant",outputs/17.png,-0.8164390921592712,30.777090072631836,0.2509765625
18,"A sorceress casting a spell inside a crystal cave, bioluminescent creatures, fantasy, by Greg Rutkowski",outputs/18.png,1.140132188796997,29.184064865112305,0.25390625
19,"A steampunk airship flying over a post-apocalyptic wasteland, detailed illustration, style of Simon Stalenhag",outputs/19.png,1.3374019861221313,30.280736923217773,0.28857421875
